support_ticket_id,support_ticket_desc
1,"I cannot believe the level of service I have received. I have been a loyal ShopNest customer since 2020 and have spent thousands of dollars on this platform. I have recommended ShopNest to everyone I know - my coworkers, my neighbors, my entire book club. I have never once filed a complaint or asked for anything special. I always leave five star reviews and I tip delivery drivers generously. And THIS is how you treat your most loyal customers? I am beyond frustrated. I spent over three hours today trying to reach your support team and not a single person gave me a straight answer. Your chatbot is completely useless, your email support is nonexistent, and your phone line had a 40 minute hold time. I have screenshots of every single interaction. I will be filing a complaint with the Better Business Bureau if this is not resolved by end of day. Anyway. Order SNX-4421 for a Bosch dishwasher. Delivered wrong model. Want replacement."
2,"Ord SNX-8902 ACH debit failed at checkout, tried 2x. CC also declined. PayPal unavail for this item. Need NDD before the 15th. Card limit confirmed ok but txn still failing. Pls check PG logs and escalate. Alt PMT: can store credit from prev RMA be applied to this order? ASAP."
3,not working. please help.
4,"Okay so I have genuinely had it with this company. Every single time I place an order something goes wrong. Last month it was a delayed delivery. The month before that it was a damaged product. Before that it was a wrong item sent. I have contacted support so many times I have lost count. Every single time I am told the issue will be resolved within 24 to 48 hours and it never is. I sit and wait and absolutely nothing happens. Then I have to follow up again and I get another sorry for the inconvenience. Sorry does not fix anything. I work full time and I do not have the bandwidth to keep chasing a company for basic service delivery. My colleagues have been telling me to switch platforms and honestly I am starting to think they are right. Order #SNX-9021, KitchenAid stand mixer, payment charged twice for the same order. Need one charge reversed immediately."
5,refund not received
6,"Hi. I placed an order for a laptop. It is a Dell. I ordered it last Monday I think or maybe Tuesday. The order number is in my email somewhere - I believe it is SNX-3310 or maybe SNX-3130, I am not completely sure. Delivery came two days later which I thought was great. But when I opened the box the laptop would not turn on at all. I tried charging it for over an hour. Nothing. I tried a different charger I had at home. Still nothing. My roommate who works in IT also took a look and said it sounds like a hardware defect straight out of the box. The outer box also had a small dent on one corner but I am not sure if that is relevant. I want to return it and get a replacement. Or maybe a refund. I am honestly not sure which option makes more sense for me. Can someone advise? Also is there a home pickup option because I do not have easy access to a drop off location."
7,ORDER SNX-6612 DELIVERED WRONG ITEM. I ORDERED NIKE RUNNING SHOES SIZE 11 AND THEY SENT SOME RANDOM SANDAL I HAVE NEVER EVEN HEARD OF. THIS IS THE THIRD WRONG ITEM THIS MONTH. I WANT MY SHOES OR A FULL REFUND. ALSO WHY IS THERE NO DIRECT PHONE NUMBER - YOUR CHATBOT IS COMPLETELY USELESS AND I AM DONE WITH IT.
8,"Hello, good morning. I hope this message finds you well. I am reaching out today regarding a small matter pertaining to a recent order of mine. I do not wish to be a burden and I fully understand how busy your team must be. I simply wanted to follow up when you have a free moment as I have been waiting for a little while now. I appreciate everything your team does and I am grateful for your time. Warm regards."
9,"hey so my package still hasnt shown up, its been like a week maybe more? the app says delivered but nothing came. checked with my neighbor and they didnt see anything either. pretty annoyed honestly. can someone look into this and either resend or refund me thanks"
10,"I want to be very clear about how disappointed I am with this entire experience. Two full weeks. Two weeks and I have received nothing but conflicting information and broken promises. I have called four separate times. Each agent told me something completely different. First it was a warehouse backlog. Then it was a carrier issue. Then I was told my address was incomplete - which is absolutely false because I have received over a dozen previous orders at this exact address without any issue whatsoever. I even emailed a screenshot of my confirmed address and was still told it was incorrect. The level of disorganization here is genuinely shocking. I have already contacted my state's consumer protection office and I am keeping a full record of every interaction. Order SNX-2201, Bose noise cancelling headphones, still not delivered after 14 days. Tracking has been frozen since day three."
